Categories,Stationary Fuel Combustion,Industrial and Other Processes,Highway Vehicles,Non-Road Mobile
CO,9.29584541945504,27.830436470776327,36.98695840851472,25.886759701253908
NH3,2.2670025188916876,95.36523929471034,2.3173803526448364,0.050377833753148624
NOx,29.19844941853195,16.481180442666002,30.17381518069276,24.14655495810929
Direct PM2.5,45.279117849758784,40.66161268090971,6.202618883528601,7.856650585802894
Direct PM10,33.69418132611637,51.05999097880017,9.742895805142084,5.502931889941362
SO2,67.81609195402298,29.83032293377121,0.8757525998905309,1.477832512315271
VOC,4.196443410337377,75.56922054179823,11.442579358484293,8.79175668938009
